mandate_id,payer_id,attempt_number,attempt_date,day_of_month,day_of_week,hour_of_day,is_salary_window,bank_name,payer_historical_success_rate,payer_tenure_months,subscription_amount,amount_tier,prior_failure_reason,outcome_success
mandate_00000,payer_00000,1,2025-05-03,3,5,15,True,Bank B (Tier1),0.625,24,4999.0,high,,True
mandate_00001,payer_00001,1,2025-03-02,2,6,14,True,Bank C (Tier1),0.355,16,499.0,low,,True
mandate_00002,payer_00002,1,2026-04-02,2,3,19,True,Bank C (Tier1),0.268,27,299.0,low,,True
mandate_00003,payer_00003,1,2025-09-19,19,4,15,False,Bank A (Tier1),0.715,28,1499.0,medium,,True
mandate_00004,payer_00004,1,2025-05-12,12,0,7,False,Bank F (Tier2),0.807,7,2499.0,high,,False
mandate_00004,payer_00004,2,2025-05-17,17,5,8,False,Bank C (Tier1),0.807,7,299.0,low,insufficient_funds,True
mandate_00005,payer_00005,1,2026-05-12,12,1,9,False,Bank C (Tier1),0.347,34,2499.0,high,,False
mandate_00005,payer_00005,2,2026-05-14,14,3,10,False,Bank C (Tier1),0.347,34,4999.0,high,bank_server_error,False
mandate_00005,payer_00005,3,2026-05-18,18,0,16,False,Bank G (Tier3),0.347,34,1499.0,medium,technical_decline,False
mandate_00005,payer_00005,4,2026-05-23,23,5,13,False,Bank G (Tier3),0.347,34,499.0,low,bank_server_error,True
mandate_00006,payer_00006,1,2025-09-13,13,5,13,False,Bank D (Tier2),0.704,4,999.0,medium,,False
mandate_00006,payer_00006,2,2025-09-16,16,1,19,False,Bank B (Tier1),0.704,4,299.0,low,technical_decline,False
mandate_00006,payer_00006,3,2025-09-17,17,2,8,False,Bank C (Tier1),0.704,4,4999.0,high,technical_decline,False
mandate_00006,payer_00006,4,2025-09-20,20,5,15,False,Bank C (Tier1),0.704,4,4999.0,high,insufficient_funds,True
mandate_00007,payer_00007,1,2026-02-12,12,3,19,False,Bank H (Tier3),0.295,20,199.0,low,,False
mandate_00007,payer_00007,2,2026-02-15,15,6,19,False,Bank B (Tier1),0.295,20,299.0,low,insufficient_funds,False
mandate_00007,payer_00007,3,2026-02-17,17,1,13,False,Bank G (Tier3),0.295,20,1499.0,medium,insufficient_funds,False
mandate_00007,payer_00007,4,2026-02-19,19,3,13,False,Bank D (Tier2),0.295,20,4999.0,high,limit_exceeded,False
